location_state,Total_Traffic,URL_Count,Avg_Traffic
California,125910,292,431.2
Texas,38773,375,103.39
Florida,37811,174,217.3
New,27062,326,83.01
Maryland,24159,74,326.47
Washington,22657,102,222.13
Pennsylvania,17718,290,61.1
Arizona,17564,85,206.64
Illinois,17463,259,67.42
North,16727,141,118.63
Massachusetts,13765,66,208.56
Georgia,13736,117,117.4
South,11369,85,133.75
Michigan,10213,145,70.43
Ohio,9783,154,63.53
Colorado,7146,52,137.42
Indiana,6679,74,90.26
Tennessee,6223,89,69.92
Oregon,5756,36,159.89
Nevada,5139,14,367.07
Connecticut,5045,45,112.11
Missouri,4825,102,47.3
Louisiana,4438,75,59.17
Virginia,4162,60,69.37
Alabama,3861,103,37.49
Wisconsin,3803,90,42.26
Minnesota,3123,94,33.22
Utah,2736,31,88.26
Hawaii,2460,10,246.0
Alaska,2413,14,172.36
Kentucky,2362,37,63.84
Delaware,2267,8,283.38
Oklahoma,2034,88,23.11
Mississippi,1561,43,36.3
Arkansas,1550,57,27.19
Rhode,1522,14,108.71
Maine,1299,21,61.86
Montana,1271,7,181.57
Idaho,1221,15,81.4
Kansas,1190,68,17.5
District,1099,2,549.5
Iowa,1074,89,12.07
West,749,9,83.22
Nebraska,722,33,21.88
Vermont,469,9,52.11
state,251,48,5.23
Wyoming,219,2,109.5
