country,Total_Traffic,URL_Count,Avg_Traffic
US,203629,35475,5.74
IN,1008,465,2.17
ZA,944,584,1.62
UK,698,515,1.36
KE,588,40,14.7
NG,277,81,3.42
AU,253,512,0.49
GH,233,14,16.64
DE,216,122,1.77
PH,157,206,0.76
SA,154,118,1.31
CA,149,742,0.2
BD,77,29,2.66
AE,70,114,0.61
NZ,64,123,0.52
SE,52,22,2.36
CH,43,44,0.98
Country,35,1,35.0
JM,35,75,0.47
IT,34,34,1.0
ES,33,46,0.72
NO,21,9,2.33
JP,21,24,0.88
IL,20,11,1.82
QA,20,14,1.43
PT,13,6,2.17
SG,12,58,0.21
TH,11,16,0.69
IE,8,116,0.07
MX,8,30,0.27
FR,7,35,0.2
CN,7,17,0.41
MY,7,69,0.1
KW,7,12,0.58
RO,7,8,0.88
TT,5,15,0.33
PK,5,44,0.11
MZ,4,2,2.0
CY,4,6,0.67
NL,3,60,0.05
HK,2,30,0.07
NA,1,7,0.14
LK,1,14,0.07
GY,1,3,0.33
MV,1,3,0.33
NP,1,17,0.06
AF,1,1,1.0
ET,1,5,0.2
FI,1,12,0.08
VN,1,1,1.0
DK,1,6,0.17
BE,1,15,0.07
UG,1,9,0.11
PL,0,13,0.0
TW,0,8,0.0
MT,0,7,0.0
ZM,0,9,0.0
YE,0,1,0.0
VI,0,1,0.0
UZ,0,1,0.0
UY,0,1,0.0
NI,0,1,0.0
UA,0,1,0.0
TZ,0,1,0.0
TR,0,6,0.0
PR,0,16,0.0
TN,0,1,0.0
SV,0,2,0.0
SK,0,1,0.0
SI,0,2,0.0
OM,0,7,0.0
PA,0,2,0.0
PE,0,1,0.0
RW,0,1,0.0
RU,0,2,0.0
MN,0,1,0.0
PG,0,15,0.0
MP,0,1,0.0
KR,0,2,0.0
MD,0,1,0.0
BO,0,1,0.0
DO,0,3,0.0
CZ,0,1,0.0
CR,0,7,0.0
CO,0,6,0.0
CL,0,4,0.0
BZ,0,3,0.0
BY,0,1,0.0
BW,0,8,0.0
BS,0,15,0.0
BR,0,8,0.0
BM,0,2,0.0
MC,0,1,0.0
BH,0,1,0.0
BG,0,6,0.0
BF,0,1,0.0
BB,0,4,0.0
AW,0,1,0.0
AT,0,6,0.0
AR,0,4,0.0
AQ,0,1,0.0
AL,0,1,0.0
AG,0,1,0.0
DZ,0,1,0.0
EC,0,2,0.0
EE,0,2,0.0
EG,0,17,0.0
MA,0,3,0.0
LV,0,1,0.0
LU,0,3,0.0
LT,0,2,0.0
LR,0,1,0.0
LI,0,1,0.0
LB,0,3,0.0
KZ,0,1,0.0
KY,0,3,0.0
KH,0,1,0.0
JO,0,8,0.0
IS,0,1,0.0
IR,0,1,0.0
IQ,0,4,0.0
ID,0,5,0.0
HU,0,3,0.0
HT,0,1,0.0
GT,0,2,0.0
GR,0,10,0.0
GG,0,1,0.0
FJ,0,3,0.0
ZW,0,5,0.0
